,u,v,j,i,X,Y,Z
28,503.98477,382.92923,6,4,3.0,2.0,1
29,567.02155,382.8848,6,6,3.0,3.0,1
31,168.10658,446.13974,4,-6,2.0,-3.0,1
32,238.303,447.1849,4,-4,2.0,-2.0,1
33,308.0008,448.21967,4,-2,2.0,-1.0,1
34,375.12418,449.24783,4,0,2.0,0.0,1
35,629.8965,448.477,4,8,2.0,4.0,1
36,693.72076,448.6502,4,10,2.0,5.0,1
37,440.93234,450.01105,4,2,2.0,1.0,1
38,504.3011,450.00458,4,4,2.0,2.0,1
39,567.0354,449.93054,4,6,2.0,3.0,1
41,691.7181,515.0963,2,10,1.0,5.0,1
42,168.98344,515.7249,2,-6,1.0,-3.0,1
43,239.98117,516.29846,2,-4,1.0,-2.0,1
44,566.41833,516.2454,2,6,1.0,3.0,1
45,629.097,516.06726,2,8,1.0,4.0,1
46,308.78192,517.0079,2,-2,1.0,-1.0,1
47,375.93823,517.17584,2,0,1.0,0.0,1
48,440.95255,517.20294,2,2,1.0,1.0,1
49,504.39835,516.9198,2,4,1.0,2.0,1
50,691.419,580.6796,0,10,0.0,5.0,1
52,566.04535,582.3167,0,6,0.0,3.0,1
53,628.5956,581.6373,0,8,0.0,4.0,1
54,504.0406,583.235,0,4,0.0,2.0,1
56,440.27682,584.1825,0,2,0.0,1.0,1
57,169.85986,584.70636,0,-6,0.0,-3.0,1
58,240.01346,585.09393,0,-4,0.0,-2.0,1
59,308.05963,584.9484,0,-2,0.0,-1.0,1
60,375.3174,585.00684,0,0,0.0,0.0,1
61,626.99524,647.0946,-2,8,-1.0,4.0,1
62,690.7078,646.6161,-2,10,-1.0,5.0,1
63,564.4965,648.20764,-2,6,-1.0,3.0,1
64,502.92285,649.7068,-2,4,-1.0,2.0,1
66,439.12625,650.8782,-2,2,-1.0,1.0,1
68,307.97397,652.2219,-2,-2,-1.0,-1.0,1
69,373.91302,651.904,-2,0,-1.0,0.0,1
70,168.89482,652.67883,-2,-6,-1.0,-3.0,1
71,238.95357,652.8296,-2,-4,-1.0,-2.0,1
72,626.7008,712.88336,-4,8,-2.0,4.0,1
73,563.2769,713.91046,-4,6,-2.0,3.0,1
74,500.43027,715.1177,-4,4,-2.0,2.0,1
75,437.65262,716.8769,-4,2,-2.0,1.0,1
76,372.11014,718.1385,-4,0,-2.0,0.0,1
77,306.0249,719.1106,-4,-2,-2.0,-1.0,1
79,168.08362,720.1259,-4,-6,-2.0,-3.0,1
80,237.97697,719.8642,-4,-4,-2.0,-2.0,1
82,625.84357,779.0865,-6,8,-3.0,4.0,1
83,562.02466,779.7069,-6,6,-3.0,3.0,1
84,499.0136,780.96967,-6,4,-3.0,2.0,1
85,435.03622,782.38794,-6,2,-3.0,1.0,1
86,370.0629,783.9575,-6,0,-3.0,0.0,1
87,236.80438,786.11523,-6,-4,-3.0,-2.0,1
88,303.98123,785.66046,-6,-2,-3.0,-1.0,1
89,166.81439,787.1611,-6,-6,-3.0,-3.0,1
90,560.89374,845.34875,-8,6,-4.0,3.0,1
91,433.52374,847.1148,-8,2,-4.0,1.0,1
92,497.64203,846.84174,-8,4,-4.0,2.0,1
93,368.1477,849.2054,-8,0,-4.0,0.0,1
94,302.1727,850.74756,-8,-2,-4.0,-1.0,1
95,233.61339,852.7662,-8,-4,-4.0,-2.0,1
97,430.77026,915.1744,-10,2,-5.0,1.0,1
98,365.30643,916.8169,-10,0,-5.0,0.0,1
99,298.8837,918.81104,-10,-2,-5.0,-1.0,1
0,214.64902,158.82182,12,-4,6.0,-2.0,2
1,285.87054,162.90973,12,-2,6.0,-1.0,2
2,355.663,166.75352,12,0,6.0,0.0,2
3,423.07736,168.86285,12,2,6.0,1.0,2
4,555.396,168.83432,12,6,6.0,3.0,2
5,489.32587,169.88599,12,4,6.0,2.0,2
7,219.93364,232.71797,10,-4,5.0,-2.0,2
8,289.09082,234.35207,10,-2,5.0,-1.0,2
9,358.64978,238.13509,10,0,5.0,0.0,2
10,424.88266,239.19931,10,2,5.0,1.0,2
11,490.0692,240.1615,10,4,5.0,2.0,2
12,620.18866,239.76825,10,8,5.0,4.0,2
13,555.1137,240.97794,10,6,5.0,3.0,2
14,150.79005,300.03036,8,-6,4.0,-3.0,2
15,222.89713,302.9436,8,-4,4.0,-2.0,2
16,293.02844,305.23907,8,-2,4.0,-1.0,2
17,360.97974,307.1412,8,0,4.0,0.0,2
18,427.17215,308.89713,8,2,4.0,1.0,2
19,619.5675,309.33356,8,8,4.0,4.0,2
20,491.97076,309.93964,8,4,4.0,2.0,2
21,555.80115,310.04852,8,6,4.0,3.0,2
23,153.19554,370.31226,6,-6,3.0,-3.0,2
24,225.79811,372.80798,6,-4,3.0,-2.0,2
25,294.92264,374.17523,6,-2,3.0,-1.0,2
26,362.90817,375.7969,6,0,3.0,0.0,2
27,683.5625,376.26004,6,10,3.0,5.0,2
28,428.86996,376.88577,6,2,3.0,1.0,2
29,492.97543,377.30493,6,4,3.0,2.0,2
30,619.6755,376.92517,6,8,3.0,4.0,2
31,556.7169,377.83728,6,6,3.0,3.0,2
33,155.93872,440.82007,4,-6,2.0,-3.0,2
34,226.9504,441.98868,4,-4,2.0,-2.0,2
35,296.13312,442.8826,4,-2,2.0,-1.0,2
36,364.01697,444.06714,4,0,2.0,0.0,2
37,619.73236,443.49658,4,8,2.0,4.0,2
38,682.8157,443.68445,4,10,2.0,5.0,2
39,429.89618,444.84048,4,2,2.0,1.0,2
40,493.91492,444.94006,4,4,2.0,2.0,2
41,556.20215,444.85583,4,6,2.0,3.0,2
43,156.93292,510.11044,2,-6,1.0,-3.0,2
44,680.8468,510.1688,2,10,1.0,5.0,2
45,228.00027,511.16397,2,-4,1.0,-2.0,2
46,618.93976,511.09265,2,8,1.0,4.0,2
47,296.99716,511.79395,2,-2,1.0,-1.0,2
