,u,v,j,i,X,Y,Z
61,679.939,435.16296,2,6,1.0,3.0,7
62,748.0416,436.04837,2,8,1.0,4.0,7
63,815.9108,436.7388,2,10,1.0,5.0,7
64,884.85675,437.01913,2,12,1.0,6.0,7
65,956.1834,436.96774,2,14,1.0,7.0,7
66,58.125088,502.76797,0,-12,0.0,-6.0,7
67,131.10687,503.07184,0,-10,0.0,-5.0,7
68,201.09218,503.0862,0,-8,0.0,-4.0,7
69,270.02753,502.96014,0,-6,0.0,-3.0,7
70,337.2562,502.8385,0,-4,0.0,-2.0,7
71,405.20483,502.8857,0,-2,0.0,-1.0,7
72,474.05692,503.03174,0,0,0.0,0.0,7
73,542.81976,503.06024,0,2,0.0,1.0,7
74,611.18774,503.20096,0,4,0.0,2.0,7
75,679.8997,503.80112,0,6,0.0,3.0,7
76,747.91455,504.01093,0,8,0.0,4.0,7
77,815.95667,504.75516,0,10,0.0,5.0,7
78,885.0695,505.0857,0,12,0.0,6.0,7
79,956.02435,505.7952,0,14,0.0,7.0,7
80,200.8817,571.1594,-2,-8,-1.0,-4.0,7
81,269.30908,571.06305,-2,-6,-1.0,-3.0,7
82,337.09558,571.1456,-2,-4,-1.0,-2.0,7
83,405.21207,571.17694,-2,-2,-1.0,-1.0,7
84,57.3681,572.3004,-2,-12,-1.0,-6.0,7
85,130.37308,571.75287,-2,-10,-1.0,-5.0,7
86,473.69034,571.74493,-2,0,-1.0,0.0,7
87,542.2424,571.9198,-2,2,-1.0,1.0,7
88,611.10504,572.06647,-2,4,-1.0,2.0,7
89,679.9197,572.26825,-2,6,-1.0,3.0,7
90,747.94604,572.3388,-2,8,-1.0,4.0,7
91,816.25903,573.1015,-2,10,-1.0,5.0,7
92,885.1314,573.37714,-2,12,-1.0,6.0,7
93,956.2137,574.4167,-2,14,-1.0,7.0,7
94,269.18976,639.2815,-4,-6,-2.0,-3.0,7
95,200.05638,639.5678,-4,-8,-2.0,-4.0,7
96,337.02365,639.7563,-4,-4,-2.0,-2.0,7
97,405.05188,639.97687,-4,-2,-2.0,-1.0,7
98,473.89713,640.1572,-4,0,-2.0,0.0,7
99,129.13826,640.884,-4,-10,-2.0,-5.0,7
100,542.1851,640.821,-4,2,-2.0,1.0,7
101,611.0715,640.93915,-4,4,-2.0,2.0,7
102,679.7203,640.98615,-4,6,-2.0,3.0,7
103,747.78827,641.05096,-4,8,-2.0,4.0,7
104,816.20825,641.2955,-4,10,-2.0,5.0,7
105,55.526005,642.218,-4,-12,-2.0,-6.0,7
106,885.3078,642.1042,-4,12,-2.0,6.0,7
107,958.01666,644.0043,-4,14,-2.0,7.0,7
108,268.8675,708.01276,-6,-6,-3.0,-3.0,7
109,336.94342,707.94476,-6,-4,-3.0,-2.0,7
110,405.22464,708.2691,-6,-2,-3.0,-1.0,7
111,197.9916,708.855,-6,-8,-3.0,-4.0,7
112,473.89703,708.78064,-6,0,-3.0,0.0,7
113,542.0761,709.00586,-6,2,-3.0,1.0,7
114,611.00653,709.118,-6,4,-3.0,2.0,7
115,679.1375,709.1829,-6,6,-3.0,3.0,7
116,747.8109,709.98883,-6,8,-3.0,4.0,7
117,816.054,710.15015,-6,10,-3.0,5.0,7
118,127.064865,710.9012,-6,-10,-3.0,-5.0,7
119,887.01666,711.67175,-6,12,-3.0,6.0,7
120,336.55978,777.1589,-8,-4,-4.0,-2.0,7
121,405.2416,777.06866,-8,-2,-4.0,-1.0,7
122,473.29874,776.83044,-8,0,-4.0,0.0,7
123,542.13855,777.0063,-8,2,-4.0,1.0,7
124,267.19098,777.82135,-8,-6,-4.0,-3.0,7
125,610.1915,778.03406,-8,4,-4.0,2.0,7
126,679.0654,777.9073,-8,6,-4.0,3.0,7
127,196.83635,778.99225,-8,-8,-4.0,-4.0,7
128,747.66644,779.55695,-8,8,-4.0,4.0,7
129,816.99335,780.10706,-8,10,-4.0,5.0,7
130,124.0642,781.7172,-8,-10,-4.0,-5.0,7
131,889.4848,782.824,-8,12,-4.0,6.0,7
132,404.97406,846.2525,-10,-2,-5.0,-1.0,7
133,473.22864,846.1961,-10,0,-5.0,0.0,7
134,335.71497,847.04584,-10,-4,-5.0,-2.0,7
135,541.99115,846.76385,-10,2,-5.0,1.0,7
136,610.7097,847.0559,-10,4,-5.0,2.0,7
137,266.03278,848.23346,-10,-6,-5.0,-3.0,7
138,679.26666,847.844,-10,6,-5.0,3.0,7
139,748.903,849.0938,-10,8,-5.0,4.0,7
140,819.2016,851.16565,-10,10,-5.0,5.0,7
141,473.1228,917.14636,-12,0,-6.0,0.0,7
142,541.76514,917.16064,-12,2,-6.0,1.0,7
143,404.08673,918.089,-12,-2,-6.0,-1.0,7
144,610.83887,917.9877,-12,4,-6.0,2.0,7
145,333.9744,919.25726,-12,-4,-6.0,-2.0,7
146,680.01526,919.20593,-12,6,-6.0,3.0,7
147,750.17914,921.2875,-12,8,-6.0,4.0,7
0,337.19424,90.03801,12,-4,6.0,-2.0,8
1,407.1262,92.75684,12,-2,6.0,-1.0,8
2,681.93896,92.95694,12,6,6.0,3.0,8
3,475.98654,93.89589,12,0,6.0,0.0,8
4,544.20526,94.07909,12,2,6.0,1.0,8
5,612.95734,94.2216,12,4,6.0,2.0,8
6,269.87122,161.28355,10,-6,5.0,-3.0,8
7,339.15176,162.45078,10,-4,5.0,-2.0,8
8,407.09927,162.34549,10,-2,5.0,-1.0,8
9,748.9599,163.17128,10,8,5.0,4.0,8
10,475.7666,164.0934,10,0,5.0,0.0,8
11,543.79297,164.06516,10,2,5.0,1.0,8
12,612.07117,164.01517,10,4,5.0,2.0,8
13,680.67334,164.11629,10,6,5.0,3.0,8
14,127.95572,225.97023,8,-10,4.0,-5.0,8
15,201.16896,228.7383,8,-8,4.0,-4.0,8
16,889.076,229.68365,8,12,4.0,6.0,8
17,271.09293,230.79964,8,-6,4.0,-3.0,8
18,339.8051,231.32521,8,-4,4.0,-2.0,8
19,407.8954,231.88528,8,-2,4.0,-1.0,8
20,475.9007,231.79605,8,0,4.0,0.0,8
21,543.86346,231.99646,8,2,4.0,1.0,8
22,612.0045,232.00613,8,4,4.0,2.0,8
23,679.81305,232.21559,8,6,4.0,3.0,8
24,747.9796,232.29495,8,8,4.0,4.0,8
25,818.0291,231.81331,8,10,4.0,5.0,8
26,129.22102,296.2505,6,-10,3.0,-5.0,8
27,202.2094,298.57794,6,-8,3.0,-4.0,8
28,271.29407,299.0541,6,-6,3.0,-3.0,8
29,339.3603,299.09415,6,-4,3.0,-2.0,8
30,407.24054,299.00305,6,-2,3.0,-1.0,8
31,475.19287,298.9134,6,0,3.0,0.0,8
32,543.29834,298.94998,6,2,3.0,1.0,8
33,611.9566,299.14963,6,4,3.0,2.0,8
34,679.84863,299.84457,6,6,3.0,3.0,8
35,747.61084,300.02765,6,8,3.0,4.0,8
36,817.7747,300.03207,6,10,3.0,5.0,8
37,886.97577,299.81747,6,12,3.0,6.0,8
38,56.4204,363.93573,4,-12,2.0,-6.0,8
39,130.98055,365.86664,4,-10,2.0,-5.0,8
40,201.56702,366.40103,4,-8,2.0,-4.0,8
41,406.97903,366.34384,4,-2,2.0,-1.0,8
42,475.00214,366.27396,4,0,2.0,0.0,8
43,543.21423,366.234,4,2,2.0,1.0,8
44,271.1681,366.9882,4,-6,2.0,-3.0,8
45,338.98282,366.84998,4,-4,2.0,-2.0,8
46,611.9019,366.87564,4,4,2.0,2.0,8
47,680.02527,367.21286,4,6,2.0,3.0,8
48,747.9317,366.92892,4,8,2.0,4.0,8
49,816.38477,368.05203,4,10,2.0,5.0,8
50,886.09467,368.3585,4,12,2.0,6.0,8
51,958.1021,367.73758,4,14,2.0,7.0,8
52,58.061348,433.75928,2,-12,1.0,-6.0,8
53,131.81749,434.35864,2,-10,1.0,-5.0,8
54,338.1312,434.4038,2,-4,1.0,-2.0,8
55,406.15717,434.20532,2,-2,1.0,-1.0,8
56,474.3438,433.9692,2,0,1.0,0.0,8
57,543.09375,434.27658,2,2,1.0,1.0,8
58,202.03981,435.4962,2,-8,1.0,-4.0,8
59,270.95493,434.91757,2,-6,1.0,-3.0,8
60,611.91187,434.90903,2,4,1.0,2.0,8
61,680.0866,435.16403,2,6,1.0,3.0,8
62,748.19293,436.02527,2,8,1.0,4.0,8
63,816.023,436.76352,2,10,1.0,5.0,8
64,885.0112,437.01657,2,12,1.0,6.0,8
65,956.9675,436.91144,2,14,1.0,7.0,8
66,58.278107,502.80823,0,-12,0.0,-6.0,8
67,131.19444,503.04108,0,-10,0.0,-5.0,8
68,201.77296,503.07843,0,-8,0.0,-4.0,8
69,270.18738,502.9306,0,-6,0.0,-3.0,8
70,337.96326,502.8109,0,-4,0.0,-2.0,8
71,405.90668,502.88446,0,-2,0.0,-1.0,8
72,474.23785,503.0109,0,0,0.0,0.0,8
73,543.00116,503.04663,0,2,0.0,1.0,8
74,611.8315,503.1959,0,4,0.0,2.0,8
75,680.06525,503.77234,0,6,0.0,3.0,8
76,748.09454,503.99634,0,8,0.0,4.0,8
77,816.6518,504.79456,0,10,0.0,5.0,8
78,885.2492,505.05634,0,12,0.0,6.0,8
79,956.16986,505.7559,0,14,0.0,7.0,8
80,201.07434,571.13696,-2,-8,-1.0,-4.0,8
81,270.01044,571.02563,-2,-6,-1.0,-3.0,8
82,337.27725,571.12683,-2,-4,-1.0,-2.0,8
83,405.46362,571.15186,-2,-2,-1.0,-1.0,8
84,57.47681,572.2719,-2,-12,-1.0,-6.0,8
85,131.06677,571.7315,-2,-10,-1.0,-5.0,8
86,473.96124,571.71533,-2,0,-1.0,0.0,8
87,542.86725,571.9077,-2,2,-1.0,1.0,8
88,611.70825,572.05615,-2,4,-1.0,2.0,8
89,680.0888,572.2399,-2,6,-1.0,3.0,8
90,748.08673,572.2842,-2,8,-1.0,4.0,8
91,817.0217,573.11096,-2,10,-1.0,5.0,8
92,885.3144,573.349,-2,12,-1.0,6.0,8
93,956.973,574.4017,-2,14,-1.0,7.0,8
94,269.3544,639.27954,-4,-6,-2.0,-3.0,8
95,200.15356,639.58405,-4,-8,-2.0,-4.0,8
96,337.19666,639.75446,-4,-4,-2.0,-2.0,8
97,405.26538,639.9465,-4,-2,-2.0,-1.0,8
98,474.12228,640.1243,-4,0,-2.0,0.0,8
99,129.26904,640.9166,-4,-10,-2.0,-5.0,8
100,542.85986,640.78394,-4,2,-2.0,1.0,8
101,611.259,640.8871,-4,4,-2.0,2.0,8
102,679.9016,640.98096,-4,6,-2.0,3.0,8
103,747.964,641.0237,-4,8,-2.0,4.0,8
104,56.244976,642.193,-4,-12,-2.0,-6.0,8
105,816.9683,641.6905,-4,10,-2.0,5.0,8
106,885.9997,642.1364,-4,12,-2.0,6.0,8
107,958.1315,643.9346,-4,14,-2.0,7.0,8
108,269.08536,708.0078,-6,-6,-3.0,-3.0,8
109,337.15762,707.9383,-6,-4,-3.0,-2.0,8
110,198.61736,708.80884,-6,-8,-3.0,-4.0,8
111,405.39062,708.7515,-6,-2,-3.0,-1.0,8
112,474.09103,708.7268,-6,0,-3.0,0.0,8
113,542.2515,708.96967,-6,2,-3.0,1.0,8
114,611.1831,709.08856,-6,4,-3.0,2.0,8
115,679.821,709.1935,-6,6,-3.0,3.0,8
116,747.98303,709.9279,-6,8,-3.0,4.0,8
117,816.65485,710.09064,-6,10,-3.0,5.0,8
118,127.22177,710.904,-6,-10,-3.0,-5.0,8
119,887.2199,711.6783,-6,12,-3.0,6.0,8
120,960.1877,714.4315,-6,14,-3.0,7.0,8
121,337.28052,777.0466,-8,-4,-4.0,-2.0,8
122,405.37918,777.0053,-8,-2,-4.0,-1.0,8
123,473.92633,776.7821,-8,0,-4.0,0.0,8
124,542.36206,776.9466,-8,2,-4.0,1.0,8
125,267.82782,777.79913,-8,-6,-4.0,-3.0,8
126,610.9716,778.04016,-8,4,-4.0,2.0,8
127,679.8042,777.95013,-8,6,-4.0,3.0,8
128,196.93053,779.02734,-8,-8,-4.0,-4.0,8
129,747.84076,779.51996,-8,8,-4.0,4.0,8
130,817.9056,780.20056,-8,10,-4.0,5.0,8
131,124.16811,781.74713,-8,-10,-4.0,-5.0,8
132,889.6375,782.6988,-8,12,-4.0,6.0,8
133,405.19345,846.2747,-10,-2,-5.0,-1.0,8
134,473.88058,846.1866,-10,0,-5.0,0.0,8
135,542.1707,846.32806,-10,2,-5.0,1.0,8
136,335.9117,847.08215,-10,-4,-5.0,-2.0,8
137,610.9014,847.0146,-10,4,-5.0,2.0,8
138,266.2085,848.2592,-10,-6,-5.0,-3.0,8
139,679.93,847.8439,-10,6,-5.0,3.0,8
140,749.1307,849.1247,-10,8,-5.0,4.0,8
141,819.8179,851.2276,-10,10,-5.0,5.0,8
142,404.2972,918.165,-12,-2,-6.0,-1.0,8
143,473.27258,917.7027,-12,0,-6.0,0.0,8
144,541.9863,917.72736,-12,2,-6.0,1.0,8
145,611.1073,918.0874,-12,4,-6.0,2.0,8
