,X,Y,Z,u,v
0,-5.0,-5.0,-5.0,-0.04348963168837326,1.4951679062267207
1,-4.615384615384615,-5.0,-5.0,-0.09988284936097247,1.4822256722568667
2,-4.230769230769231,-5.0,-5.0,-0.15716362464258238,1.4690797439650418
3,-3.846153846153846,-5.0,-5.0,-0.21535307727609743,1.4557252743738056
4,-3.4615384615384617,-5.0,-5.0,-0.27447300243061096,1.442157261495516
5,-3.0769230769230766,-5.0,-5.0,-0.3345458979198677,1.4283705420857045
6,-2.692307692307692,-5.0,-5.0,-0.3955949927476339,1.414359785091913
7,-2.3076923076923075,-5.0,-5.0,-0.4576442770560774,1.4001194847805498
8,-1.923076923076923,-5.0,-5.0,-0.5207185335582689,1.385643953523134
9,-1.5384615384615383,-5.0,-5.0,-0.5848433705413267,1.3709273142220795
10,-1.1538461538461537,-5.0,-5.0,-0.6500452565325361,1.3559634923548267
11,-0.7692307692307692,-5.0,-5.0,-0.7163515567270325,1.3407462076136945
12,-0.38461538461538414,-5.0,-5.0,-0.7837905712823742,1.325268965117285
13,0.0,-5.0,-5.0,-0.852391575592585,1.309525046167593
14,0.384615384615385,-5.0,-5.0,-0.9221848626620859,1.2935074985252002
15,0.7692307692307692,-5.0,-5.0,-0.9932017877083603,1.2772091261729681
16,1.1538461538461542,-5.0,-5.0,-1.0654748151313351,1.260622478536575
17,1.5384615384615392,-5.0,-5.0,-1.139037567997291,1.2437398391279642
18,1.9230769230769234,-5.0,-5.0,-1.2139248801957712,1.226553213575346
19,2.3076923076923084,-5.0,-5.0,-1.290172851439474,1.2090543170007284
20,2.6923076923076925,-5.0,-5.0,-1.3678189052895766,1.1912345607031156
21,3.0769230769230766,-5.0,-5.0,-1.4469018504024542,1.1730850381023985
22,3.4615384615384617,-5.0,-5.0,-1.5274619452083795,1.1545965098956008
23,3.8461538461538467,-5.0,-5.0,-1.6095409662486968,1.1357593883735118
24,4.230769230769232,-5.0,-5.0,-1.693182280415184,1.1165637208417625
25,4.615384615384617,-5.0,-5.0,-1.7784309213540668,1.0969991720861203
26,5.0,-5.0,-5.0,-1.8653336703175105,1.0770550058170816
27,-5.0,-5.0,-5.0,-0.04348963168837326,1.4951679062267207
28,-5.0,-4.615384615384615,-5.0,-0.05801914658209993,1.419866200373631
29,-5.0,-4.230769230769231,-5.0,-0.07236389597752713,1.3455220734422413
30,-5.0,-3.846153846153846,-5.0,-0.08652738198055711,1.2721173751673516
31,-5.0,-3.4615384615384617,-5.0,-0.1005130187460243,1.1996344111052786
32,-5.0,-3.0769230769230766,-5.0,-0.11432413522144548,1.128055928413887
33,-5.0,-2.692307692307692,-5.0,-0.12796397778869567,1.0573651021616643
34,-5.0,-2.3076923076923075,-5.0,-0.141435712808008,0.9875455221429932
35,-5.0,-1.923076923076923,-5.0,-0.15474242906848862,0.918581180177945
36,-5.0,-1.5384615384615383,-5.0,-0.1678871401491277,0.8504564578759296
37,-5.0,-1.1538461538461537,-5.0,-0.18087278669409945,0.7831561148435654
38,-5.0,-0.7692307692307692,-5.0,-0.19370223860595792,0.7166652773180651
39,-5.0,-0.38461538461538414,-5.0,-0.20637829716016495,0.6509694272083295
40,-5.0,0.0,-5.0,-0.21890369704422322,0.5860543915267935
41,-5.0,0.384615384615385,-5.0,-0.2312811083245311,0.5219063321958605
42,-5.0,0.7692307692307692,-5.0,-0.24351313834393185,0.45851173621352864
43,-5.0,1.1538461538461542,-5.0,-0.2556023335527889,0.3958574061635297
44,-5.0,1.5384615384615392,-5.0,-0.2675511812762882,0.3339304510559791
45,-5.0,1.9230769230769234,-5.0,-0.27936211142054473,0.2727182774851884
46,-5.0,2.3076923076923084,-5.0,-0.2910374981199702,0.21220858109189675
47,-5.0,2.6923076923076925,-5.0,-0.3025796613282485,0.15238933831777046
48,-5.0,3.0769230769230766,-5.0,-0.31399086835515777,0.09324879844055556
49,-5.0,3.4615384615384617,-5.0,-0.32527333535137815,0.03477547587880932
50,-5.0,3.8461538461538467,-5.0,-0.3364292287433265,-0.023041857244378242
51,-5.0,4.230769230769232,-5.0,-0.34746066661997005,-0.08021417828878591
52,-5.0,4.615384615384617,-5.0,-0.3583697200734842,-0.13675222104524695
53,-5.0,5.0,-5.0,-0.36915841449553516,-0.19266648245385862
54,-5.0,-5.0,-5.0,-0.04348963168837326,1.4951679062267207
55,-5.0,-5.0,-4.615384615384615,0.014174235838629267,1.462961155236523
56,-5.0,-5.0,-4.230769230769231,0.07251681448004155,1.4303753266576453
57,-5.0,-5.0,-3.846153846153846,0.13155015794799307,1.3974036881822895
58,-5.0,-5.0,-3.4615384615384617,0.19128660708160897,1.364039347134855
59,-5.0,-5.0,-3.0769230769230766,0.25173879844766117,1.330275245668256
60,-5.0,-5.0,-2.692307692307692,0.3129196732522305,1.2961041557865285
61,-5.0,-5.0,-2.3076923076923075,0.3748424865765864,1.261518674186354
62,-5.0,-5.0,-1.923076923076923,0.4375208169511231,1.2265112169097714
63,-5.0,-5.0,-1.5384615384615383,0.500968576281882,1.191074013799958
64,-5.0,-5.0,-1.1538461538461537,0.5652000201448995,1.155199102751573
65,-5.0,-5.0,-0.7692307692307692,0.6302297584643831,1.1188783237467204
66,-5.0,-5.0,-0.38461538461538414,0.696072766591515,1.082103312667155
67,-5.0,-5.0,0.0,0.7627443968015273,1.044865494872868
68,-5.0,-5.0,0.384615384615385,0.8302603902275968,1.0071560785367017
69,-5.0,-5.0,0.7692307692307692,0.8986368892510337,0.9689660477241115
70,-5.0,-5.0,1.1538461538461542,0.9678904503682599,0.9302861552066266
71,-5.0,-5.0,1.5384615384615392,1.0380380575561134,0.8911069149969845
72,-5.0,-5.0,1.9230769230769234,1.1090971361581445,0.8514185945932786
73,-5.0,-5.0,2.3076923076923084,1.181085567315753,0.8112112069187978
74,-5.0,-5.0,2.6923076923076925,1.2540217029692642,0.7704745019435384
75,-5.0,-5.0,3.0769230769230766,1.327924381455391,0.7291979579726235
